MOL_IDX MOL_ID SMILES Docking1 Docking
32 CHEMBL3978209 Nc1cccc(Oc2ccc3c(/C=C/c4ccccc4)n[nH]c3c2)c1 -9.100 "[-9.1, -9.1, -8.2, -7.9, -7.4, -6.4]"
33 CHEMBL3944594 Nc1cccc(C(=O)c2ccc3c(/C=C/c4ccccc4)n[nH]c3c2)c1 -9.900 "[-9.9, -9.6, -8.8, -7.5, -7.1]"
34 CHEMBL2003271 NC(=O)c1sc2ccc(Cl)c(Cl)c2c1NC(=O)c1ccc(Cl)cc1 -6.900 "[-6.9, -5.3, -5.2, -4.4, -4.2, -4.0]"
35 CHEMBL1977134 Nc1c(-c2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)cnc2c(-c3ccc4c(c3)OCO4)cnn12 -10.800 "[-10.8, -10.4, -9.8, -7.8]"
36 CHEMBL2006439 Clc1cc(-c2c[nH]c3ncccc23)nc(NC2CCCCC2)n1 -7.200 "[-7.2, -6.8, -6.6, -6.0, -5.9, -5.7, -5.3, -5.3]"
37 CHEMBL1974870 Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4cccc(Cl)c4)c3)cc12 -6.800 "[-6.8, -6.3, -5.5, -5.4, -5.0]"
38 CHEMBL1997051 COc1ccc(CN(C)C)cc1Nc1nccc(-c2c(-c3cccc(NC(=O)c4c(F)cccc4F)c3)nc3sccn23)n1 -8.400 "[-8.4, -8.2, -8.0, -7.2, -7.1, -6.2]"
39 CHEMBL509032 COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1 -8.700 "[-8.7, -7.2, -6.6, -6.2, -5.9, -5.9, -5.9]"
40 CHEMBL1977138 CC(Nc1cncc(-n2cnc3ccc(C#N)cc32)n1)c1ccccc1F -8.000 "[-8.0, -7.4, -7.2, -7.1, -7.1, -7.1, -6.9, -6.9, -6.9, -6.4]"
41 CHEMBL1999428 CC(NC(=O)c1ccc(-c2ccncc2)cc1)c1ccccc1 -7.700 "[-7.7, -7.3, -6.7, -6.3, -5.9, -5.2]"
42 CHEMBL1973793 O=S(=O)(Nc1ccc2c(c1)C(=NO)c1ccccc1-2)c1cccc(Br)c1 -7.900 "[-7.9, -7.4, -7.3, -7.2, -6.6, -6.4, -6.2, -6.2]"
43 CHEMBL1825138 CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl -6.900 "[-6.9, -6.6, -6.5, -6.3, -6.1, -5.8, -5.4, -4.9]"
44 CHEMBL360847 CN(C)CC1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1 -7.200 "[-7.2, -5.9, -5.5, -4.8, -4.7]"
45 CHEMBL296586 O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1 -8.400 "[-8.4, -7.4, -7.1, -6.5, -6.5, -6.4]"
46 CHEMBL1996255 Cc1ccc(F)c(NC(=O)Nc2ccc(-c3c(F)ccc4[nH]nc(N)c34)cc2)c1 -9.900 "[-9.9, -8.4, -8.4, -7.9, -7.6, -7.5, -7.4, -7.2]"
47 CHEMBL2001613 O=c1[nH][nH]c2ccc(Br)cc12 -5.900 "[-5.9, -5.9, -5.5, -5.4, -5.3, -4.5, -4.5, -3.6, -3.3, -3.1]"
48 CHEMBL1965910 Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2C1CCC(N2CCCC2)CC1 -7.700 "[-7.7, -7.7, -7.6, -7.5, -7.5]"
49 CHEMBL1996791 Nc1ncnc2c1c(I)nn2C1CCC(O)CC1 -5.900 "[-5.9, -5.4, -5.0, -4.3, -3.8, -3.2, -3.0, -2.9]"
50 CHEMBL1988153 Cc1nnc(-c2cc3c(Oc4ccc(C(F)(F)F)cc4)cncc3s2)o1 -9.100 "[-9.1, -8.1, -7.1]"
51 CHEMBL1090356 O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1 -8.900 "[-8.9, -7.2, -6.3]"
52 CHEMBL1993722 Nc1n[nH]c2cccc(-c3ccc(NC(=O)Nc4cc(C(=O)O)ccc4F)cc3)c12 -10.400 "[-10.4, -10.2, -9.9, -9.4, -9.1, -8.1]"
53 CHEMBL1997872 O=C(c1cccc(-c2cnc3[nH]ccc3c2)c1)N1CCOCC1 -8.800 "[-8.8, -8.0, -7.7, -7.4, -7.1, -6.5, -6.2, -6.2, -6.1, -5.9]"
54 CHEMBL1994321 Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCNS(C)(=O)=O)cnc(N)c34)cc2)c1 -9.500 "[-9.5, -9.1, -8.2, -8.0, -7.7, -7.0]"
55 CHEMBL24828 COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1 -8.700 "[-8.7, -8.6, -7.6, -7.0, -6.7, -6.4]"
56 CHEMBL1976134 c1cc2cc(-c3ccc4cn[nH]c4c3)cnc2[nH]1 -9.000 "[-9.0, -7.7, -6.4]"
57 CHEMBL1998611 NC(=O)c1sc2c(Br)ccc(Cl)c2c1N -5.400 "[-5.4, -5.3, -5.3, -4.7, -4.6, -4.5, -4.2, -4.0, -3.9, -2.8]"
58 CHEMBL1966175 CC1CCN(C(=O)CC#N)CC1c1ncc2cnc3[nH]ccc3n12 -5.900 "[-5.9, -5.2, -4.6, -4.3, -3.7]"
59 CHEMBL379975 O=C1NC(=O)c2c1c(-c1ccccc1Cl)cc1[nH]c3ccc(O)cc3c21 -8.300 "[-8.3, -7.4, -7.2, -7.0, -6.8, -6.7, -6.2, -5.8, -5.5, -5.3]"
60 CHEMBL1975787 NC(=O)c1cc2c(-c3ccc(F)cc3F)cncc2s1 -7.100 "[-7.1, -6.8, -6.5, -5.8, -5.5, -5.2, -4.9, -4.7]"
61 CHEMBL185569 Cc1cccc(NC(=O)Nc2ccc(-c3cccc4c3CNC4=O)cc2)c1 -10.000 "[-10.0, -9.0, -8.5, -7.5]"
